"Date","Station","WS","WD","AT","RH","SR","BP","PM2.5","Temp","Aerosol_Type_Land","GC"
2013-01-01,"AV",NA,NA,NA,NA,51.5,730.67,256,9.37,NA,3
2013-01-01,"IHBAS",0.99,195.17,NA,88.38,46.36,1014.66,58.14,NA,NA,3
2013-01-01,"ITO",NA,NA,NA,NA,NA,NA,158.36,NA,NA,3
2013-01-01,"MM",NA,NA,NA,NA,NA,NA,367,NA,NA,3
2013-01-01,"PB ",NA,NA,NA,NA,NA,NA,396.71,NA,NA,0
2013-01-01,"PUSA",NA,NA,NA,NA,NA,NA,217.36,NA,NA,4
2013-01-01,"RKP",NA,NA,NA,NA,NA,NA,462.25,NA,NA,3
2013-01-02,"IHBAS",1.42,298.71,NA,94.2,36.22,1017.45,0,NA,NA,3
2013-01-02,"ITO",NA,NA,NA,NA,NA,NA,157.54,NA,NA,3
2013-01-02,"MM",NA,279.64,NA,88.14,NA,739,0,NA,NA,3
2013-01-02,"PUSA",NA,NA,NA,NA,NA,NA,204.66,NA,NA,4
2013-01-02,"RKP",0.68,120.8,NA,444.67,140.3,743.13,0,7.05,NA,3
2013-01-03,"AV",NA,NA,NA,NA,293.22,742.54,203.56,8.66,NA,3
2013-01-03,"IHBAS",0.46,299.58,NA,89.58,55.15,1018.14,0,NA,NA,3
2013-01-03,"ITO",NA,NA,NA,NA,NA,NA,120.53,NA,NA,3
2013-01-03,"MM",NA,260.51,NA,81.53,302.54,738.8,0,NA,NA,3
2013-01-03,"PUSA",NA,NA,NA,NA,NA,NA,153.03,NA,NA,4
2013-01-03,"RKP",0.48,141,NA,289,147.75,743,0,6.38,NA,3
2013-01-04,"AV",NA,NA,NA,NA,349.74,741.36,229.12,8.04,NA,3
2013-01-04,"IHBAS",0.73,302.59,NA,88.3,60.77,1017.45,0,NA,NA,3
2013-01-04,"ITO",NA,NA,NA,NA,NA,NA,139.25,NA,NA,3
2013-01-04,"MM",NA,248.12,NA,76.14,286.12,738.7,0,NA,NA,3
2013-01-04,"PUSA",NA,NA,NA,NA,NA,NA,177.39,NA,NA,4
2013-01-05,"IHBAS",0.46,309.41,NA,88.59,41.27,1015.91,0,NA,NA,3
2013-01-05,"ITO",NA,NA,NA,NA,NA,NA,150.52,NA,NA,3
2013-01-05,"MM",NA,247.51,NA,76.69,256.32,738.72,0,NA,NA,3
2013-01-05,"PB ",1.49,119.13,NA,314.85,200.36,738.01,0,8.16,NA,0
2013-01-05,"PUSA",NA,NA,NA,NA,NA,NA,187.7,NA,NA,4
2013-01-05,"RKP",1.56,166.69,NA,284.85,216.16,742.88,0,7.47,NA,3
2013-01-06,"IHBAS",0.45,296.19,NA,86.48,40.91,1017.9,0,NA,NA,3
2013-01-06,"ITO",NA,NA,NA,NA,NA,NA,164.25,NA,NA,3
2013-01-06,"MM",NA,262.92,NA,76.97,228.76,738.77,0,NA,NA,3
2013-01-06,"PB ",0.97,171.08,NA,438.05,172.53,738.03,0,8.47,NA,0
2013-01-06,"PUSA",NA,NA,NA,NA,NA,NA,224.35,NA,NA,4
2013-01-06,"RKP",0.76,180.21,NA,514.43,166.8,742.84,0,7.14,NA,3
2013-01-07,"AV",NA,NA,NA,NA,234.82,743.48,309.62,9.98,NA,3
2013-01-07,"IHBAS",1.93,296.19,NA,85.18,65.68,1018.81,0,NA,NA,3
2013-01-07,"ITO",NA,NA,NA,NA,NA,NA,145.1,NA,NA,3
2013-01-07,"MM",NA,265.39,NA,77.42,268.7,738.74,0,NA,NA,3
