CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
01-01-2013 00:00,02-01-2013 00:00,AV,,730.67,,256.0,,51.5,9.37,8.22,,,1.53,2.32,1.68,102.67,123.75,115.7,281.02,5.0,2.35
02-01-2013 00:00,03-01-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
03-01-2013 00:00,04-01-2013 00:00,AV,,742.54,,203.56,,293.22,8.66,9.12,,,1.59,3.49,1.33,92.39,102.98,105.16,242.01,7.78,6.06
04-01-2013 00:00,05-01-2013 00:00,AV,,741.36,,229.12,,349.74,8.04,8.2,,,1.66,3.86,1.5,80.01,85.36,96.43,209.13,10.68,9.1
05-01-2013 00:00,06-01-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
06-01-2013 00:00,07-01-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
07-01-2013 00:00,08-01-2013 00:00,AV,,743.48,,309.62,,234.82,9.98,15.96,,,2.8,4.95,1.32,102.32,190.63,149.29,406.25,32.68,5.61
08-01-2013 00:00,09-01-2013 00:00,AV,,742.46,,264.57,,296.34,9.23,8.85,,,2.11,3.78,1.25,92.55,156.9,138.44,348.68,24.73,8.67
09-01-2013 00:00,10-01-2013 00:00,AV,,740.82,,203.25,,332.87,15.08,8.62,,,1.93,3.34,1.42,90.68,146.11,157.44,350.95,27.98,8.9
10-01-2013 00:00,11-01-2013 00:00,AV,,736.28,,156.5,,273.74,15.32,5.58,,0.1,1.67,2.27,1.36,81.77,114.84,147.02,297.26,36.49,13.9
11-01-2013 00:00,12-01-2013 00:00,AV,,736.9,,132.14,,271.65,17.31,8.12,,0.1,1.61,2.75,1.38,85.69,126.01,159.35,324.36,32.61,13.47
12-01-2013 00:00,13-01-2013 00:00,AV,,740.57,,266.29,,286.31,15.38,13.92,,0.1,2.25,4.34,1.64,123.13,231.87,147.45,462.72,28.79,44.75
13-01-2013 00:00,14-01-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,AV,,345.35,,338.11,,254.35,17.98,20.49,,,3.42,5.38,3.74,147.25,237.46,186.6,506.62,32.1,11.43
15-01-2013 00:00,16-01-2013 00:00,AV,,737.34,,319.06,,268.81,16.49,19.8,,0.1,2.76,4.44,1.89,135.25,213.43,138.27,428.26,27.51,26.74
16-01-2013 00:00,17-01-2013 00:00,AV,,740.29,,316.06,,262.06,18.36,25.03,,0.1,2.62,3.94,2.78,132.17,120.56,135.76,294.96,29.99,45.17
17-01-2013 00:00,18-01-2013 00:00,AV,,738.04,,237.2,,267.27,18.34,11.8,,0.1,1.59,2.82,1.67,139.99,75.68,119.0,216.25,18.27,31.98
18-01-2013 00:00,19-01-2013 00:00,AV,,734.96,,67.15,,275.51,17.39,15.64,,0.1,1.36,1.93,1.64,104.7,137.69,113.69,298.81,9.21,15.99
19-01-2013 00:00,20-01-2013 00:00,AV,,748.0,,173.9,,67.92,16.28,12.51,,,1.63,4.64,2.07,109.55,179.67,125.21,368.63,5.73,4.56
20-01-2013 00:00,21-01-2013 00:00,AV,,745.96,,99.94,,331.47,16.51,7.73,,0.1,1.22,2.35,1.45,66.53,104.86,141.58,278.18,37.22,7.9
21-01-2013 00:00,22-01-2013 00:00,AV,,748.5,,131.09,,301.49,14.61,10.27,,,1.71,2.9,1.33,73.83,156.89,151.97,361.12,30.6,13.21
22-01-2013 00:00,23-01-2013 00:00,AV,,750.56,,292.03,,98.21,14.0,32.91,,,5.81,7.17,1.82,106.58,580.26,216.46,1017.6,4.62,25.84
