CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:55:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:24:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Burari Crossing , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
01-01-2013 00:00,02-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-01-2013 00:00,03-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-01-2013 00:00,04-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
04-01-2013 00:00,05-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-01-2013 00:00,06-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-01-2013 00:00,07-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-01-2013 00:00,08-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
08-01-2013 00:00,09-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
09-01-2013 00:00,10-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
10-01-2013 00:00,11-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
11-01-2013 00:00,12-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
12-01-2013 00:00,13-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
15-01-2013 00:00,16-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-01-2013 00:00,30-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-01-2013 00:00,31-01-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
31-01-2013 00:00,01-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-02-2013 00:00,02-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-02-2013 00:00,03-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-02-2013 00:00,04-02-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
