CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
01-01-2013 00:00,02-01-2013 00:00,MM,,,,,,,,,75.0,,4.33,367.0,,
02-01-2013 00:00,03-01-2013 00:00,MM,,,,279.64,88.14,739.0,,29.59,0.0,79.23,0.0,0.0,12.32,36.55
03-01-2013 00:00,04-01-2013 00:00,MM,,,,260.51,81.53,738.8,302.54,14.79,0.0,65.13,0.0,0.0,9.43,37.65
04-01-2013 00:00,05-01-2013 00:00,MM,,,,248.12,76.14,738.7,286.12,21.45,0.0,83.03,0.0,0.0,11.52,37.48
05-01-2013 00:00,06-01-2013 00:00,MM,,,,247.51,76.69,738.72,256.32,15.02,0.0,72.89,0.0,0.0,8.34,38.52
06-01-2013 00:00,07-01-2013 00:00,MM,,,,262.92,76.97,738.77,228.76,13.13,0.0,67.92,0.0,0.0,8.05,37.02
07-01-2013 00:00,08-01-2013 00:00,MM,,,,265.39,77.42,738.74,268.7,14.56,0.0,68.88,0.0,0.0,8.67,36.03
08-01-2013 00:00,09-01-2013 00:00,MM,,,,240.27,70.94,738.64,226.89,10.64,0.0,66.4,0.0,0.0,9.3,36.92
09-01-2013 00:00,10-01-2013 00:00,MM,,,,253.91,56.92,738.38,197.81,7.24,0.0,68.0,0.0,0.0,8.89,37.9
10-01-2013 00:00,11-01-2013 00:00,MM,,,,248.19,49.43,738.06,199.71,4.89,0.0,62.11,0.0,0.0,8.13,35.76
11-01-2013 00:00,12-01-2013 00:00,MM,,,,243.66,46.07,738.0,231.72,3.56,0.0,56.15,0.0,0.0,6.45,34.94
12-01-2013 00:00,13-01-2013 00:00,MM,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,MM,,,,266.0,77.13,739.0,77.4,12.19,0.0,81.27,0.0,0.0,11.71,68.89
14-01-2013 00:00,15-01-2013 00:00,MM,,,,249.3,78.11,738.76,206.96,21.9,0.0,81.34,0.0,0.0,11.93,59.62
15-01-2013 00:00,16-01-2013 00:00,MM,,,,202.45,71.95,738.65,189.79,67.56,0.0,160.26,0.0,0.0,16.48,49.69
16-01-2013 00:00,17-01-2013 00:00,MM,,,,198.81,72.51,738.67,174.65,48.95,0.0,133.19,0.0,0.0,13.41,56.58
17-01-2013 00:00,18-01-2013 00:00,MM,,,,200.97,75.73,738.86,185.19,18.58,0.0,79.77,0.0,0.0,9.25,57.37
18-01-2013 00:00,19-01-2013 00:00,MM,,,,192.17,86.17,738.99,163.73,22.51,0.0,90.31,0.0,0.0,6.72,50.14
19-01-2013 00:00,20-01-2013 00:00,MM,,,,265.04,59.74,738.48,214.4,7.57,0.0,96.2,0.0,0.0,8.93,51.67
20-01-2013 00:00,21-01-2013 00:00,MM,,,,261.68,70.79,738.59,205.57,9.12,0.0,94.62,0.0,0.0,5.93,53.82
21-01-2013 00:00,22-01-2013 00:00,MM,,,,254.45,60.43,738.46,202.81,16.01,0.0,108.06,0.0,0.0,7.3,50.09
22-01-2013 00:00,23-01-2013 00:00,MM,,,,284.59,76.12,738.82,139.52,85.29,0.0,221.49,0.0,0.0,24.92,52.32
23-01-2013 00:00,24-01-2013 00:00,MM,,,,237.38,68.89,738.63,220.08,117.39,0.0,260.54,0.0,0.0,20.98,57.95
24-01-2013 00:00,25-01-2013 00:00,MM,,,,246.57,67.49,738.6,213.93,58.08,0.0,174.43,0.0,0.0,14.6,57.92
25-01-2013 00:00,26-01-2013 00:00,MM,,,,234.08,63.68,738.56,210.82,33.05,0.0,138.3,0.0,0.0,11.32,68.26
26-01-2013 00:00,27-01-2013 00:00,MM,,,,237.21,61.19,738.54,207.44,21.84,0.0,123.95,0.0,0.0,7.29,82.61
