CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Saturday, Mar 10 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 03:11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"PB, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"AT,Benzene,BP,CH4,CO,Eth-Benzene,NH3,NMHC,NO,NO2,NOx,O Xylene,Ozone,PM10,PM2.5,MP-Xylene,RH,SO2,SR,SPM,THC,VWS,WD,WS,Temp,Toluene",,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T16:37:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,PB , , , , ,,,,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,AT,Benzene,BP,CH4,CO,Eth-Benzene,Temp,Toluene,NH3,NMHC,NO,NO2,NOx,O Xylene,SR,SPM,THC,VWS,WD,WS,Ozone,PM10,PM2.5,MP-Xylene,RH,SO2
1/1/2013 0:00,2/1/2013 0:00,PB ,,,,,149.29,,,,,,,194.43,,,,,,,,,1.67,,396.71,,,32.33
2/1/2013 0:00,3/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2013 0:00,4/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2013 0:00,5/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2013 0:00,6/1/2013 0:00,PB ,,1.95,738.01,,0,,8.16,6.69,,,3.96,0,102.42,,200.36,,,,119.13,1.49,0,,0,1.48,314.85,0
6/1/2013 0:00,7/1/2013 0:00,PB ,,2.25,738.03,,0,,8.47,7.26,,,4.29,0,153.28,,172.53,,,,171.08,0.97,0,,0,2.27,438.05,0
7/1/2013 0:00,8/1/2013 0:00,PB ,,2.23,738,,0,,6.22,6.6,,,3.95,0,137.7,,104.75,,,,226,0.55,,,0,1.6,398,0
8/1/2013 0:00,9/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2013 0:00,10/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2013 0:00,11/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2013 0:00,12/1/2013 0:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2013 0:00,13-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2013 00:00,16-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,PB ,,,,,,,,,,,,,,,,,,,,,,,,,,
