CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:57:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"CRRI Mathura Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:25:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"CRRI Mathura Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,CRRI Mathura Road , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
01-01-2013 00:00,02-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
02-01-2013 00:00,03-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
03-01-2013 00:00,04-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
04-01-2013 00:00,05-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
05-01-2013 00:00,06-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
06-01-2013 00:00,07-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
07-01-2013 00:00,08-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
08-01-2013 00:00,09-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
09-01-2013 00:00,10-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
10-01-2013 00:00,11-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
11-01-2013 00:00,12-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
12-01-2013 00:00,13-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
15-01-2013 00:00,16-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
29-01-2013 00:00,30-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
30-01-2013 00:00,31-01-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
31-01-2013 00:00,01-02-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
01-02-2013 00:00,02-02-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
02-02-2013 00:00,03-02-2013 00:00,CRRI,,,,,,,,,,,,,,,,,,,,,,,
