CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 11:00:03 PM,,,,,,,,,,,,,,,,,,,,,
Station,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:28:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,
 , ,,East Arjun Nagar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene
01-01-2013 00:00,02-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-01-2013 00:00,03-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-01-2013 00:00,04-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-01-2013 00:00,05-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-01-2013 00:00,06-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-01-2013 00:00,07-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-01-2013 00:00,08-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-01-2013 00:00,09-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-01-2013 00:00,10-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-01-2013 00:00,11-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-01-2013 00:00,12-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-01-2013 00:00,13-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-01-2013 00:00,16-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-01-2013 00:00,30-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-01-2013 00:00,31-01-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-01-2013 00:00,01-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-02-2013 00:00,02-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-02-2013 00:00,03-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-02-2013 00:00,04-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-02-2013 00:00,05-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-02-2013 00:00,06-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-02-2013 00:00,07-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-02-2013 00:00,08-02-2013 00:00,EAN,,,,,,,,,,,,,,,,,,,
