CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,
Time: 01:27:27 AM,,,,,,,,,,,,,,,,,,,,
Station,"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T14:54:59Z 00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,
 , ,,Lodhi Road , , , , ,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone
01-01-2013 00:00,02-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-01-2013 00:00,03-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-01-2013 00:00,04-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-01-2013 00:00,05-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-01-2013 00:00,06-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-01-2013 00:00,07-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-01-2013 00:00,08-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-01-2013 00:00,09-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
09-01-2013 00:00,10-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
10-01-2013 00:00,11-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
11-01-2013 00:00,12-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
12-01-2013 00:00,13-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
13-01-2013 00:00,14-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
14-01-2013 00:00,15-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
15-01-2013 00:00,16-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
16-01-2013 00:00,17-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-01-2013 00:00,18-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-01-2013 00:00,19-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-01-2013 00:00,20-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-01-2013 00:00,21-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-01-2013 00:00,22-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-01-2013 00:00,23-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-01-2013 00:00,24-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-01-2013 00:00,25-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-01-2013 00:00,26-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-01-2013 00:00,27-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-01-2013 00:00,28-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-01-2013 00:00,29-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-01-2013 00:00,30-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-01-2013 00:00,31-01-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
31-01-2013 00:00,01-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
01-02-2013 00:00,02-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
02-02-2013 00:00,03-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
03-02-2013 00:00,04-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
04-02-2013 00:00,05-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
05-02-2013 00:00,06-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
06-02-2013 00:00,07-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
07-02-2013 00:00,08-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
08-02-2013 00:00,09-02-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
