Station,Date,Aerosol_Type_Land
AV,1/1/1993,0
AV,1/1/2015,1.927910202
AV,1/2/2015,2.216158348
AV,1/3/2015,2.045043971
AV,1/4/2015,1.763177711
AV,1/5/2015,2.012743593
AV,1/6/2015,2.072855816
AV,1/7/2015,2.750096569
AV,1/8/2015,2.309113409
AV,1/9/2015,2.031585845
AV,1/10/2015,2.350931144
AV,1/11/2015,2.739633252
AV,1/12/2015,2.483762982
AV,1/13/2015,1.829917441
AV,1/14/2015,2.603404142
AV,1/15/2015,2.189337637
AV,1/16/2015,2.647500178
AV,1/17/2015,1.960708139
AV,1/18/2015,1.898157995
AV,1/19/2015,2.455316543
AV,1/20/2015,1.903058408
AV,1/21/2015,2.227725437
AV,1/22/2015,2.043123793
AV,1/23/2015,2.841665417
AV,1/24/2015,2.36309422
AV,1/25/2015,1.857172885
AV,1/26/2015,2.131051718
AV,1/27/2015,2.683057733
AV,1/28/2015,1.900365827
AV,1/29/2015,1.928134591
AV,1/30/2015,2.412887331
AV,1/31/2015,2.177777129
AV,2/1/2015,1.805602877
AV,2/2/2015,2.322387644
AV,2/3/2015,1.862667395
AV,2/4/2015,2.472979837
AV,2/5/2015,1.936464761
AV,2/6/2015,2.25831744
AV,2/7/2015,2.053240434
AV,2/8/2015,2.662397951
AV,2/9/2015,2.248060465
AV,2/10/2015,1.928438744
AV,2/11/2015,2.189402748
AV,2/12/2015,2.653906446
AV,2/13/2015,1.942773788
AV,2/14/2015,1.972721014
AV,2/15/2015,2.536185587
AV,2/16/2015,2.277929726
AV,2/17/2015,1.942043102
AV,2/18/2015,2.177609748
AV,2/19/2015,1.844391892
AV,2/20/2015,2.50975354
AV,2/21/2015,1.996712942
AV,2/22/2015,2.254472517
AV,2/23/2015,2.251675023
AV,2/24/2015,2.849218076
AV,2/25/2015,2.294880499
AV,2/26/2015,1.963900862
AV,2/27/2015,2.323461458
AV,2/28/2015,1.972134723
AV,3/1/2015,1.518095238
AV,3/2/2015,1.7979059
AV,3/3/2015,1.927781959
AV,3/4/2015,1.989630102
AV,3/5/2015,1.905418762
AV,3/6/2015,1.996821315
AV,3/7/2015,2.035725651
AV,3/8/2015,1.983410382
AV,3/9/2015,1.921414701
AV,3/10/2015,1.991409176
AV,3/11/2015,1.967080358
AV,3/12/2015,1.984202963
AV,3/13/2015,1.834426084
AV,3/14/2015,1.996884347
AV,3/15/2015,1.973346096
AV,3/16/2015,1.872554716
AV,3/17/2015,1.783581462
AV,3/18/2015,1.928035077
AV,3/19/2015,1.951681867
AV,3/20/2015,1.990024458
AV,3/21/2015,1.898197243
AV,3/22/2015,1.977034575
AV,3/23/2015,1.997784179
AV,3/24/2015,1.986031903
AV,3/25/2015,1.949756111
AV,3/26/2015,1.972733524
AV,3/27/2015,1.970235345
AV,3/28/2015,1.943459443
AV,3/29/2015,1.956472095
AV,3/30/2015,1.968548025
AV,3/31/2015,1.989842642
AV,4/1/2015,1.809802695
AV,4/2/2015,1.886387253
AV,4/3/2015,1.852253358
AV,4/4/2015,1.953217441
AV,4/5/2015,1.971321052
AV,4/6/2015,1.900648618
AV,4/7/2015,1.927974728
AV,4/8/2015,1.947479961
AV,4/9/2015,1.975856915
AV,4/10/2015,1.844860215
AV,4/11/2015,1.914607385
AV,4/12/2015,1.953710052
AV,4/13/2015,1.852606263
AV,4/14/2015,1.966600937
AV,4/15/2015,1.716838266
AV,4/16/2015,1.94390009
AV,4/17/2015,1.928991896
AV,4/18/2015,1.839560725
AV,4/19/2015,1.771610574
AV,4/20/2015,1.871090823
AV,4/21/2015,1.911260951
AV,4/22/2015,1.880421233
AV,4/23/2015,1.87341736
AV,4/24/2015,1.761406405
AV,4/25/2015,1.949137242
AV,4/26/2015,1.860499143
AV,4/27/2015,1.816541187
AV,4/28/2015,1.864456504
AV,4/29/2015,1.847229557
