From.Date,To.Date,Code,WS,WD,AT,RH,SR,BP,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Temp,NH3,SO2,CH4
1-1-2013,2/1/2013 0:00,PB ,NA,NA,NA,NA,NA,NA,NA,396.71,NA,194.43,NA,149.29,NA,1.67,NA,NA,32.33,NA
1-1-2013,2/1/2013 0:00,SHAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.71,NA,51.14,NA,5,NA,NA,8.43,NA
2-1-2013,3/1/2013 0:00,SHAD,0.23,256.39,NA,289.13,62.91,1011.7,NA,NA,33.32,0,59.9,0,NA,0,5.69,NA,0,NA
3-1-2013,4/1/2013 0:00,SHAD,0.2,237.25,NA,298.37,13.36,1010.83,NA,NA,11.47,0,38.82,0,NA,0,5.05,NA,0,NA
5-1-2013,6/1/2013 0:00,PB ,1.49,119.13,NA,314.85,200.36,738.01,NA,0,3.96,0,102.42,0,NA,0,8.16,NA,0,NA
5-1-2013,6/1/2013 0:00,SHAD,0.25,256.23,NA,126.45,90.91,1013.9,NA,NA,20.69,0,58.78,0,NA,0,5.22,NA,0,NA
6-1-2013,7/1/2013 0:00,PB ,0.97,171.08,NA,438.05,172.53,738.03,NA,0,4.29,0,153.28,0,NA,0,8.47,NA,0,NA
6-1-2013,7/1/2013 0:00,SHAD,0.2,268.62,NA,326.13,115.57,1015.76,NA,NA,20.98,0,60.2,0,NA,0,4.72,NA,0,NA
7-1-2013,8/1/2013 0:00,PB ,0.55,226,NA,398,104.75,738,NA,0,3.95,0,137.7,0,NA,NA,6.22,NA,0,NA
7-1-2013,8/1/2013 0:00,SHAD,0.24,241.34,NA,340.05,85.59,1016.17,NA,NA,34.94,0,71.37,0,NA,0,3.16,NA,0,NA
9-2-2013,10/2/2013 0:00,SHAD,0.45,198.72,NA,303.96,247.19,1008.79,NA,NA,61.04,0,130.88,0,NA,0,17.08,NA,0,NA
10-2-2013,11/2/2013 0:00,SHAD,0.16,97.42,NA,92.77,142.04,1010.31,NA,NA,469.05,0,590.23,0,NA,0,13.74,NA,0,NA
8-3-2013,9/3/2013 0:00,SHAD,0.63,172.82,NA,401.83,183.25,1014.69,NA,NA,112.2,0,126.46,0,NA,0,24.26,NA,0,NA
9-3-2013,10/3/2013 0:00,SHAD,0.7,148.31,NA,221.97,146.33,1013.76,NA,NA,172.85,0,177.9,0,NA,0,26.36,NA,0,NA
10-3-2013,11/3/2013 0:00,SHAD,0.88,146.49,NA,259.94,178.76,1013.44,NA,NA,37.47,0,62.01,0,NA,0,26.64,NA,0,NA
11-3-2013,12/3/2013 0:00,SHAD,0.54,200.3,NA,316.5,121.26,1013.36,NA,NA,73.57,0,104.35,0,NA,0,27.7,NA,0,NA
12-3-2013,13-03-2013 00:00,SHAD,0.78,236.76,NA,327.86,140.02,1013.9,NA,NA,23.19,0,72.67,0,NA,0,26.47,NA,0,NA
1-4-2013,2/4/2013 0:00,SHAD,0.64,182.22,NA,415.48,232.38,1011.66,NA,NA,37.17,0,111.55,0,NA,0,28.68,NA,0,NA
2-4-2013,3/4/2013 0:00,SHAD,0.22,291.52,NA,53.38,NA,1013.71,NA,NA,178.58,0,292.95,0,NA,0,26.1,NA,0,NA
6-4-2013,7/4/2013 0:00,SHAD,1.06,228.5,NA,79.74,222.55,1013.15,NA,NA,4.94,0,61.81,0,NA,0,29.46,NA,0,NA
7-4-2013,8/4/2013 0:00,SHAD,1.15,290.63,NA,35.41,NA,1012.86,NA,NA,2.06,0,63.12,0,NA,0,28.33,NA,0,NA
1-5-2013,2/5/2013 0:00,SHAD,1.06,208.63,NA,113.02,249.32,1012.58,NA,NA,7.9,0,35.35,0,NA,0,33.27,NA,0,NA
2-5-2013,3/5/2013 0:00,SHAD,0.93,216.51,NA,113.99,197.07,1012.05,NA,NA,5.07,0,36,0,NA,0,31.71,NA,0,NA
3-5-2013,4/5/2013 0:00,SHAD,0.87,191.56,NA,199.98,238.89,1011.65,NA,NA,59.73,0,93.32,0,NA,0,31.51,NA,0,NA
4-5-2013,5/5/2013 0:00,SHAD,0.66,136.62,NA,341.33,189.6,1011.59,NA,NA,167.32,0,187.56,0,NA,0,34.29,NA,0,NA
5-5-2013,6/5/2013 0:00,SHAD,1,109.83,NA,116.74,141.45,1011.94,NA,NA,2.84,0,37.82,0,NA,0,34.94,NA,0,NA
6-5-2013,7/5/2013 0:00,SHAD,0.76,168.36,NA,43.44,119.34,1012.2,NA,NA,11,0,57.73,0,NA,0,34.67,NA,0,NA
7-5-2013,8/5/2013 0:00,SHAD,0.55,195.92,NA,189.72,175.61,1012.34,NA,NA,108.73,0,131.54,0,NA,0,35.04,NA,0,NA
8-5-2013,9/5/2013 0:00,SHAD,0.83,223.31,NA,136.63,199.39,1012.32,NA,NA,NA,NA,NA,0,NA,0,36.08,NA,0,NA
9-5-2013,10/5/2013 0:00,SHAD,0.69,197.15,NA,118.2,176.99,1012.14,NA,NA,NA,NA,NA,0,NA,0,35.99,NA,0,NA
