Factor,Date,Aerosol_Type_Land
AV,1993-01-01,0.0
AV,2015-05-31,1.8317649318225464
AV,2015-11-11,1.9867338932318157
AV,2016-01-28,1.9942418426103647
AV,2016-02-10,2.067514811923024
AV,2016-12-02,2.351905273924104
AV,2017-05-10,1.73568239550458
AV,2017-06-12,1.7976868829337094
AV,2017-07-08,1.7436499311743825
AV,2017-09-11,1.9494842113552249
AV,2017-10-31,1.9895279523119056
AV,1993-01-01,1.75
AV,2015-05-15,1.836438470562504
AV,2015-06-04,1.7467781738415136
AV,2016-01-18,2.112601703921808
AV,2016-06-15,1.9135148013580319
AV,2016-10-10,1.8446846362995533
AV,2016-11-02,1.9744350115364135
AV,2016-12-25,2.231376838011909
AV,2017-01-07,1.9082769598089933
AV,2017-09-05,1.9479908946951705
AV,2017-11-16,1.883653707183119
AV,1993-01-01,0.0
AV,2015-02-23,2.251675023295026
AV,2015-09-11,1.883647476609984
AV,2015-09-15,1.791967509025271
AV,2016-06-29,1.884149552395998
AV,2016-12-22,2.6030861413568718
AV,2017-02-02,2.5036681075783176
AV,2017-03-18,1.94286487950176
AV,2017-03-19,1.986161251504212
AV,2017-04-25,1.846617265221577
AV,2017-10-04,1.9238206367727957
AV,1993-01-01,1.96078431372549
AV,2015-05-06,1.8634281366851744
AV,2015-07-03,1.9658013893185589
AV,2016-03-09,2.007840904113189
AV,2016-03-14,1.8948088481699537
AV,2016-07-15,1.861346178882958
AV,2016-10-16,1.9798294019160088
AV,2016-10-24,1.9229641046037589
AV,2017-02-14,2.336778312257949
AV,2017-06-02,1.8916122108732734
AV,2017-11-21,1.9548511502564467
AV,1993-01-01,0.0
AV,2015-01-16,2.647500177796742
AV,2015-04-18,1.8395607251933201
AV,2015-05-19,1.7509077912794853
AV,2015-05-22,1.8694948841347516
AV,2015-10-17,1.9231764705882357
AV,2016-08-23,1.8915672429185943
AV,2016-09-03,1.8568217188310563
AV,2016-10-19,1.9763260079887544
AV,2017-02-03,2.078885124336764
